Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,06-Jan-2026,24-Feb-2026,PE,26000.00,222.35,247.45,207.10,235.20,235.55,235.20,9273.00,158100.23,1386.53,1482000.00,-7345.00,26178.70
NIFTY,05-Jan-2026,24-Feb-2026,PE,26000.00,185.00,231.45,181.50,222.35,222.00,222.35,12425.00,211613.12,1630.62,1489345.00,97500.00,26250.30
NIFTY,02-Jan-2026,24-Feb-2026,PE,26000.00,216.20,224.95,190.25,193.75,190.30,193.75,9237.00,157322.75,1217.45,1391845.00,66105.00,26328.55
NIFTY,01-Jan-2026,24-Feb-2026,PE,26000.00,223.30,243.95,223.30,234.65,234.00,234.65,6532.00,111379.38,988.58,1325740.00,53300.00,26146.55
NIFTY,31-Dec-2025,24-Feb-2026,PE,26000.00,281.35,292.10,232.30,240.65,239.10,240.65,13172.00,224760.47,2153.67,1272440.00,195325.00,26129.60
NIFTY,30-Dec-2025,24-Feb-2026,PE,26000.00,342.20,342.20,294.70,301.05,294.70,301.05,6540.00,111855.10,1329.10,1077115.00,106080.00,25938.85
NIFTY,29-Dec-2025,24-Feb-2026,PE,26000.00,265.05,315.65,255.80,305.45,305.85,305.45,11311.00,193246.28,2090.38,971035.00,199485.00,25942.10
NIFTY,26-Dec-2025,24-Feb-2026,PE,26000.00,244.85,270.70,238.35,265.80,266.00,265.80,7513.00,128235.04,1265.34,771550.00,160355.00,26042.30
NIFTY,24-Dec-2025,24-Feb-2026,PE,26000.00,220.40,237.50,206.65,233.60,235.35,233.60,7429.00,126629.80,1079.70,611195.00,208455.00,26142.10
NIFTY,23-Dec-2025,24-Feb-2026,PE,26000.00,245.25,245.25,190.90,223.75,222.45,223.75,5702.00,97194.38,830.58,402740.00,53755.00,26177.15
NIFTY,22-Dec-2025,24-Feb-2026,PE,26000.00,289.00,289.00,239.05,240.45,239.05,240.45,5422.00,92504.50,872.70,348985.00,79300.00,26172.40
NIFTY,19-Dec-2025,24-Feb-2026,PE,26000.00,340.00,340.00,300.00,303.00,300.05,303.00,3205.00,54814.71,650.21,269685.00,14430.00,25966.40
NIFTY,18-Dec-2025,24-Feb-2026,PE,26000.00,375.00,395.00,330.05,360.75,365.80,360.75,2905.00,49761.68,667.18,255255.00,23075.00,25815.55
NIFTY,17-Dec-2025,24-Feb-2026,PE,26000.00,361.25,379.90,326.50,362.80,360.35,362.80,1799.00,30825.68,422.58,232180.00,3185.00,25818.55
NIFTY,16-Dec-2025,24-Feb-2026,PE,26000.00,324.95,356.25,322.00,350.75,355.60,350.75,2207.00,37787.23,488.93,228995.00,-7670.00,25860.10
NIFTY,15-Dec-2025,24-Feb-2026,PE,26000.00,315.05,348.70,300.00,302.25,302.75,302.25,2571.00,43988.30,538.40,236665.00,-12740.00,26027.30
NIFTY,12-Dec-2025,24-Feb-2026,PE,26000.00,328.55,340.20,297.75,300.00,300.90,300.00,2698.00,46149.86,553.66,249405.00,49465.00,26046.95
NIFTY,11-Dec-2025,24-Feb-2026,PE,26000.00,386.00,441.75,347.85,352.10,352.90,352.10,2801.00,48038.52,701.62,199940.00,31135.00,25898.55
NIFTY,10-Dec-2025,24-Feb-2026,PE,26000.00,384.70,423.15,346.95,415.35,418.25,415.35,2242.00,38455.81,566.01,168805.00,24895.00,25758.00
NIFTY,09-Dec-2025,24-Feb-2026,PE,26000.00,377.60,433.40,352.20,379.35,381.00,379.35,2601.00,44624.06,667.16,143910.00,20605.00,25839.65
NIFTY,08-Dec-2025,24-Feb-2026,PE,26000.00,266.35,366.70,265.70,352.80,356.05,352.80,1856.00,31756.89,390.49,123305.00,-6110.00,25960.55
NIFTY,05-Dec-2025,24-Feb-2026,PE,26000.00,325.00,328.00,261.95,266.30,265.00,266.30,1745.00,29813.82,323.32,129415.00,20215.00,26186.45
NIFTY,04-Dec-2025,24-Feb-2026,PE,26000.00,352.10,360.20,305.35,321.00,322.20,321.00,1345.00,23018.43,287.93,109200.00,16250.00,26033.75
NIFTY,03-Dec-2025,24-Feb-2026,PE,26000.00,337.00,379.65,334.90,342.60,342.25,342.60,1456.00,24948.53,342.13,92950.00,10595.00,25986.00
NIFTY,02-Dec-2025,24-Feb-2026,PE,26000.00,314.95,341.35,302.80,326.50,321.85,326.50,1178.00,20159.64,251.44,82355.00,-8580.00,26032.20
NIFTY,01-Dec-2025,24-Feb-2026,PE,26000.00,267.80,308.50,260.10,300.70,300.90,300.70,1294.00,22110.68,242.08,90935.00,14170.00,26175.75
NIFTY,28-Nov-2025,24-Feb-2026,PE,26000.00,294.35,297.30,280.10,293.35,289.90,293.35,713.00,12183.84,134.14,76765.00,9100.00,26202.95
NIFTY,27-Nov-2025,24-Feb-2026,PE,26000.00,312.50,324.95,283.70,296.70,297.00,296.70,1027.00,17556.00,199.70,67665.00,23400.00,26215.55
NIFTY,26-Nov-2025,24-Feb-2026,PE,26000.00,376.45,391.20,312.50,319.65,312.50,319.65,999.00,17103.84,220.74,44265.00,44265.00,26205.30
