Date,Settle Price,Underlying Value,Strike Price,Expiry,T,IV,Delta,Gamma,Vega
2026-01-27,144.35,25175.4,26000.0,24-Feb-2026,0.07671232876712329,0.14162540435791016,0.2498699712262069,0.0003217005749889282,22.15189713368774
2026-01-28,136.45,25342.75,26000.0,24-Feb-2026,0.07397260273972603,0.12167930603027344,0.27032537689432157,0.0003944739607623675,22.804126598382616
2026-01-29,151.5,25418.9,26000.0,24-Feb-2026,0.07123287671232877,0.12172698974609375,0.29563974475085975,0.00041822661405608403,23.431092408410876
2026-01-30,121.95,25320.65,26000.0,24-Feb-2026,0.0684931506849315,0.12348175048828125,0.2529118634492614,0.0003907315630429599,21.18742199582579
2026-02-01,49.4,24825.45,26000.0,24-Feb-2026,0.06301369863013699,0.13946533203125,0.11782568069005989,0.0002272106303515739,12.306204910282453
2026-02-02,52.3,25088.4,26000.0,24-Feb-2026,0.06027397260273973,0.1189422607421875,0.14152903141688272,0.0003060600911896944,13.810793736624506
2026-02-03,202.55,25727.55,26000.0,24-Feb-2026,0.057534246575342465,0.1139974594116211,0.40717840969550956,0.0005516717622417814,23.949652673231423
2026-02-04,196.5,25776.0,26000.0,24-Feb-2026,0.0547945205479452,0.10646820068359375,0.4239430610941588,0.0006097003709055137,23.6322216401218
2026-02-05,134.9,25642.8,26000.0,24-Feb-2026,0.052054794520547946,0.1050567626953125,0.3357840780224171,0.0005932707920232707,21.333819107066166
2026-02-06,121.75,25693.7,26000.0,24-Feb-2026,0.049315068493150684,0.09410858154296875,0.3433916834169959,0.000684949366694467,20.985563467563225
