Date,Stock_Position,Hedge_Option_Position,Cash,Option_Value,Hedge_Option_Value,Portfolio_Value,PnL,Gamma_Main,Gamma_Hedge,Delta_Main,Delta_Hedge
2026-01-08,7.242262134019477,95.73145603694643,-173944.48782718944,47920.0,36577.761086229904,2120.204161742353,-97699.79583825765,0.0003666174113578198,0.0003676871601431496,0.5428187420287466,0.4698116547661062
2026-01-09,7.242262134019477,95.73145603694643,-173944.48782718944,36820.0,27361.742005565935,2602.4452450389217,-97217.55475496108,0.0003799252359742816,0.0003677427602509305,0.4683845889103123,0.39460053335792755
2026-01-12,7.242262134019477,95.73145603694643,-173944.48782718944,40465.0,30197.818414060734,2568.081588767105,-97251.9184112329,0.0003879160423126548,0.00038146635313240977,0.5035268040899696,0.4272686654263076
2026-01-13,7.242262134019477,95.73145603694643,-173944.48782718944,35020.0,25507.912595984977,2903.4866800249,-96916.5133199751,0.0004121383599478826,0.00039892750931432464,0.47701533554959913,0.39678008300788387
2026-01-14,7.242262134019477,95.73145603694643,-173944.48782718944,32055.0,23197.273933454235,3074.789133155071,-96745.21086684492,0.0004069498858693469,0.00038834956423600885,0.4482548583800947,0.369795191792191
2026-01-16,7.242262134019477,95.73145603694643,-173944.48782718944,32700.0,23674.14927810957,3114.8795141634473,-96705.12048583655,0.00041013157038005796,0.00039274233812208834,0.45585050415970696,0.3765492032328881
2026-01-19,7.242262134019477,95.73145603694643,-173944.48782718944,25280.0,17629.04656733885,3701.456570104736,-96118.54342989526,0.00042582704039093467,0.000393700049475971,0.3994444145349134,0.31883459026024474
2026-01-20,7.242262134019477,95.73145603694643,-173944.48782718944,15635.0,10627.86209327869,3788.753562735703,-96031.2464372643,0.0003469585783415193,0.00030065725246571263,0.2718407210755995,0.2091248438119539
2026-01-21,7.242262134019477,95.73145603694643,-173944.48782718944,13855.000000000002,9347.871439308123,3745.593248713665,-96074.40675128634,0.0003282165730220549,0.000280483164782004,0.2469835953514109,0.1882356072095373
2026-01-22,7.242262134019477,95.73145603694643,-173944.48782718944,17135.0,11749.7600416159,3826.3573575656374,-95993.64264243437,0.00035551395966456213,0.000311590514816773,0.28971400482463316,0.22494885539543774
2026-01-23,7.242262134019477,95.73145603694643,-173944.48782718944,11990.0,8064.838880388526,3539.2404565060515,-96280.75954349394,0.0002979019103306985,0.0002509996248770981,0.2169304506542356,0.16421334439754326
2026-01-27,7.242262134019477,95.73145603694643,-173944.48782718944,14435.0,9841.042178562888,3788.4004801673727,-96031.59951983263,0.0003217024038477678,0.00027663513574124817,0.24986748152401567,0.19207890082084494
2026-01-28,7.242262134019477,95.73145603694643,-173944.48782718944,13644.999999999998,8796.55690095151,4745.907770684158,-95074.09222931584,0.00039447641201147013,0.00033331282236104915,0.27032318686608237,0.19950647633427687
2026-01-29,7.242262134019477,95.73145603694643,-173944.48782718944,15150.0,9808.827264845948,4804.676396084185,-95015.32360391581,0.0004182591246292718,0.0003583799315273948,0.29561771988389807,0.21977938047146212
2026-01-30,7.242262134019477,95.73145603694643,-173944.48782718944,12195.0,7715.527297214752,4954.8241737855715,-94865.17582621443,0.0003907292967530235,0.00032445235709937083,0.2529142781304423,0.18340551896216428
2026-02-01,7.242262134019477,95.73145603694643,-173944.48782718944,4940.0,2973.884716911721,3881.8133847160934,-95938.1866152839,0.0002271857062532719,0.0001710739697433701,0.11776668391940504,0.07998689885780275
2026-02-02,7.242262134019477,95.73145603694643,-173944.48782718944,5230.0,2922.79833501392,5445.079830958721,-94374.92016904127,0.00030606352532574116,0.00022311861320356208,0.14154413962509615,0.09080607067935859
2026-02-03,7.242262134019477,95.73145603694643,-173944.48782718944,20255.0,12825.936913845442,4952.110252748789,-94867.8897472512,0.0005516612626007553,0.0004966409984606922,0.4071804730676051,0.3032624607446204
2026-02-04,7.242262134019477,95.73145603694643,-173944.48782718944,19650.0,12019.373678741063,5101.434618037649,-94718.56538196235,0.0006096777604273684,0.0005482285640261306,0.42394634576341206,0.30879590893257447
